Artículo,Descripción,P.V.P.,Ubicación
460678,MACHON TAPON FILTRO M45x300-45x200,"2,644",3-15-1
460680,TAPON FILTRO M-45x300,2,3-15-3
460682,"ENLACE NYLON 1"" 40-45","3,938",
460684,COLECTOR B.P. S/VP,"88,905",10-8
460687.1,BIELA B.P. ALUMINIO,"65,632",3-3-1
460689,ESPARRAGO CARTER M-14x162,"2,1658",3-4-1
460690,CUERPO BOMBA B.P. D-50-45-40,"118,025",10-9
460691,CIGUEÑAL B.P. CONO-ESTRIA,"290,1109",10-9
460695,PISTON LARGO M-14 ML-60,"47,66",3-65
460695.2,EJE PISTON L. M-14 B.G. (INYECTAR),0,
460697,TENSOR EMBOLO D-60,"15,695",3-38-1
460698,TUERCA TENSOR EMBOLO M-14 D-60,8,3-38-2
460894,BASE COLLARIN D-55,12,3-31-1
460895,JUNTA BASE COLLARIN D-55,"2,3",3-34-1
460896,COLLARIN D-55 ,8,3-34-2
460897,SOPORTE INTERMEDIO COLLARIN D-55,12,3-31-2
460898,TAPA COLLARIN D-55,7,3-31-3
460907,BASE COLLARIN D-60,"10,8905",3-68-1
460908,JUNTA BASE COLLARIN D-60,"2,3",3-69-1
460909,COLLARIN D-60 (40X60X10),7,3-69-2
460910,SOPORTE INTERMEDIO COLLARIN D-60,12,3-68-2
460911,TAPA COLLARIN D-60,7,3-68-3
460919,TUERCA VALVULA,"12,015",4-91-2
460920,POMO VALVULA,5,4-93-1
460921,TOPE MUELLE,"5,42",4-93-2
460922,MUELLE VALVULA PRESION,"3,25",4-93-3
460923,CIERRE VALVULA PRESION,"14,155",4-92-4
460925,ASIENTO CIERRE VALVULA PRESION,"5,08",4-92-3
460934,TUERCA APRIETE PISTON M-14,"3,6",3-70-1
460935,JUNTA NYLON CAMISA CERAMICA D-60 BG,"1,25",3-28
460936,CILINDRO ML D-60 CERAMICA,"49,25",
460943,TUERCA APRIETE PISTON M-12,"3,6",3-34-2
461419,CIGUEÑAL B.G. ESTRIA-ESTRIA,"360,5621",8-78
461521,CARTER B.P. D-55,"347,665",10-6
461523,CUERPO BOMBA B.P. D-55,"118,025",10-9
461525,CIGUEÑAL B.P. DOBLE CONO,"280,04",10-9
461691,CIGUEÑAL B.P. DOBLE ESTRIA,"300,52",10-9
465672,"ENLACE NYLON 1 1/2"" M-45x200","4,043",3-5-2
6210035,TORNILLO HEXA. 8.8 KG 10X35      DIN-933   ZN,"0,3065",3  /   54-1
6212016,TORNILLO HEXA. 8.8 KG 12X16      DIN-933  ZN,"0,3425",3  /   110-3
6306020,TORNILLO ALLEN 8.8 KG 6X20      DIN-912 ZN,"0,1",4-50-2
6308020,TORNILLO ALLEN 8.8 KG 8x20 DIN-912 ZN,"0,3975",6-20-2 y 2-126-3
6308050,TORNILLO ALLEN 8.8 KG 8X50      DIN-912   ZN,"0,2675",3  /   111-3
6308080,TORNILLO ALLEN 8.8 KG 8X80      DIN-912  ZN,"0,593",13-09-2
6408020,TORNILLO VIOLA 8x20   ZN CABEZA PLANA ( EMBRAGUE),"0,6835",6-20-2 y 2-126-3
810014.6,ARANDELA PLANA  M14  DIN-125  INOX,0,13-433-2 *
810018.1,ARANDELA PLANA  M18  DIN-433  ZN,"0,7335",MONTAJE BOMBAS
820008,ARANDELA GROWER M8  DIN-127  ZN,"0,023",13-445-2 *
820010,ARANDELA GROWER M10 DIN-127 ZN,"0,0355",3-54-2
830008,ARANDELA ABANICO M8  DIN-6798-A,"0,0895",MONTAJE BOMBAS
91061025,CHAVETA MEDIA LUNA 6X10X25 F114N,"2,44",5-78-2
92100825,CHAVETA PLANA 10X8X25,"1,048",5-73-4
N0311,"CODO LATON 1/2"" M-H","3,8724",4-42-1
N0810,"CODO LATON 1/2"" H-H","3,53",4-42-2
P2116,MACHON 1/2 X 3/4  (LATON),"3,2296",4-28-1
TW700DB12,SEPARADOR PALANCA,240,
Z292326.1,CINCADO MANETA CAMBIO MULTIPLICADOR ML,"0,8",
